DÉCADA 2000-2009,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias en otros acervos del Instituto Mora,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-12-82,"Justicia, protesta por los asesinatos de mujeres en Ciudad Juárez",,"Unidades relacionadas con las desaparecidas de Ciudad Juárez:                                                                                       Bajo Juárez, la ciudad devorando a sus hijas MXIM-AV-1-12-8 Señorita extraviada MXIM-AV-1-12-233",
MXIM-AV-1-12-83,"Km. C-62, un nómada del riel",,,
MXIM-AV-1-12-84,La palabra desenterrada,,,
MXIM-AV-1-12-85," Lacandona, medio siglo de sueños",,,
MXIM-AV-1-12-86,La condición humana de las mujeres,,,
MXIM-AV-1-12-87,"La Coronela 1940, Punto de Partida",,,
MXIM-AV-1-12-88, La decena trágica I,,,
MXIM-AV-1-12-89,La decena trágica II,,,
MXIM-AV-1-12-90,La decena trágica III,,,
MXIM-AV-1-12-91,La decena trágica IV,,,
MXIM-AV-1-12-92,La expedición punitiva,,,
MXIM-AV-1-12-93,Los rebeldes del sur,,,
MXIM-AV-1-12-94,Registro no. 1137: Máscara de muerte de Pancho Villa,,,
MXIM-AV-1-12-95,Los rollos perdidos de Pancho Villa,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV  972.061 LOM.d",Forma parte de la edición Lo mejor de la Revolución Mexicana MXIM-AV-1-12-78 ,
MXIM-AV-1-12-96,Acme & Co. Historia del cine viajero,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV  972.061 LOM.d",Forma parte de la edición Lo mejor de la Revolución Mexicana MXIM-AV-1-12-78                                                              Unidades relacionadas con las películas de Pancho Villa:         Los rollos perdidos de Pancho Villa MXIM-AV-1-12-78-2,
MXIM-AV-1-12-97,"¡Zapata vive, la lucha sigue!...",,,
MXIM-AV-1-12-98,La pesadilla de Darwin (Darwin`s nightmare),,,
MXIM-AV-1-12-99,Operación Galeana,,,
MXIM-AV-1-12-100,Las familias somos…,,,
MXIM-AV-1-12-101,Las huellas del arpón,,,
MXIM-AV-1-12-102,El tucumanazo,,,http://www.eltucumanazo.net/
MXIM-AV-1-12-103,The big sell out,,Unidades relacionadas con políticas de privatización                                      Power Trip MXIM-AV-1-12-153    ,
MXIM-AV-1-12-104,Los Tarapaqueños Peruanos: Testimonios de su Historia,,,
MXIM-AV-1-12-105,La vida en México de 1940 a 1994        capitulo 1,,,
MXIM-AV-1-12-106,La vida en México de 1940 a 1994       capítulo 3,,,
MXIM-AV-1-12-107,Le Crime de Zacarias Barrientos,,Unidades relacionadas con la guerrilla en México: ,
MXIM-AV-1-12-108,Digna Ochoa,,,
MXIM-AV-1-12-109,Los capitanes de la industria,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 338.0972 CAP.d",,
MXIM-AV-1-12-110,Los cosechadores y yo,,,
MXIM-AV-1-12-111,Los demonios del Edén,,,
MXIM-AV-1-12-112,"Los frutos de ""El Dorado""",,,
MXIM-AV-1-12-113,Los Ladrones viejos. Las leyendas del Artegio,,,
MXIM-AV-1-12-114,Los niños de Morelia,,Unidades relacionadas con la inmigración española a México a partir de la  Guerra Civil Española.,
MXIM-AV-1-12-115,Los pasos del cantador,,,"""Pablo Fulgueira, cineasta daltónico"". Entrevista a Pablo Fulgueira: http://www.letraslibres.com/blogs/pablo-fulgueira-cineasta-daltonico. ""Documental: Venado (2009)"": http://www.mna.inah.gob.mx/index.php/ediciones-mna/video/179-venado.html"
MXIM-AV-1-12-116,Zapatistas crónica de una rebelión,,"Unidades relacionadas con la temática de los zapatistas en Chiapas:                                                                                       Un lugar llamado chiapas (MXIM-AV-1-11-9).                     Chiapas, la historia continúa (MXIM-AV-1-11-21).               Chiapas, la otra guerra (MXIM-AV-1-11-22).                      Chiapas, historia inconclusa (MXIM-AV-1-11-23).                       La guerra de Chiapas (MXIM-AV-1-11-79).                                 Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91).                            Marcos, Marcos... (MXIM-AV-1-11-99).                                   Todos somos Marcos (MXIM-AV-1-11-148).                                Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152).                                                                                    Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155).                                                                                  Chiapas. Diálogo bajo amenaza (MXIM-AV-1-11-20)",
MXIM-AV-1-12-117,Los Super Amigos,,,
MXIM-AV-1-12-118,Los últimos zapatistas,,,
MXIM-AV-1-12-119,LT22 Radio La Colifata,,,http://lacolifata.openware.biz/index.cgi                         http://videotecaalternativa.net/lt22-radio-la-colifata-pelicula-documental
MXIM-AV-1-12-120,La hazaña de Monterrey,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 338.0972132 HAZ.d",,
MXIM-AV-1-12-121,Lucio,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 320.57 LUC.c",,www.lucio.com.es
MXIM-AV-1-12-122,Habla el ERPI,,,
MXIM-AV-1-12-123,Maquilapolis,,,
MXIM-AV-1-12-124,Marcha de la vida,,Unidades relacionadas con el Holocausto:                                           La travesía MXIM-AV-1-12-135                                                     El paraíso de Hafner MXIM-AV-1-12-223,http://www.marchadelavida.com.mx/
MXIM-AV-1-12-125,Venceréis pero no convenceréis,,,
MXIM-AV-1-12-126,Más allá de petates y faenas. La Petatera,,,
MXIM-AV-1-12-127,Marianela. Convivir con S.U.H.,,,
