,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,músicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-10-43,Semana Santa entre los mayos,,,,,México,1980,0:32:00,Alejandro Figueroa,"Saúl Serrano, Gabriel González Souza, Brigitte Broch",Gonzalo Martínez Ortega,Alejandro Figueroa,,,"Henner Hofmann, Ramón Jiménez",,Saúl Serrano,,,,,Francisco Almada,,,"Asistentes de cámara: Héctor Medina, Alfredo Martínez"
MXIM-AV-1-10-44,"Taller de trovadores Xichu, Gto.",,,,,México,1986,0:30:22,,Saúl Serrano,,,,,Saúl Serrano,,"José Luis Almeida, Guillermo Castrejón",,,,,,,,
MXIM-AV-1-10-45,Knochenumbettung,,,,,,1981,0:52:00,,"Franz Simon, Artur Simon",,,,,,,,,,,,,,,
MXIM-AV-1-10-46,Ballade vom kleinen soldaten ,La balada del pequeño soldado,,Documentales y cortometrajes de  Werner Herzog (Antología),DVD 2,Alemania,1984,0:44:11,,"Werner Herzog, Denis Reichle",,"Werner Herzog, Denis Reichle",,,"Michael Edols, Jorge Vignati",,Maximiliane Mainka,Christine Ebernberg,,,,,,,
MXIM-AV-1-10-47,Mer dare ó Nas vek,"Nuestro siglo, Nosso século",,Artavazd Pelechían: obra documental (1967-1994),,Armenia,1982,0:50:00,,Artavazd Pelechian,,,,,,,,,,,,,,,
MXIM-AV-1-10-48,Sir Anthony Van Dyck: Samson and Delilah (Sir. Antonio van Dyck: Sanson y Dalila),,,Obras maestras,video 1,Inglaterra,1988,0:10:00,,,Reiner E. Moritz,"John Roberts, Karlheinz Nowald",,,Konrad Kotowski,,"Elke Riemann, Stefanie Lehmann",,,,,James Greene,,,
MXIM-AV-1-10-49,Lorenzo Lotto: Madonna and Child (Lorenzo Lotto: Virgen con el niño con Santa Catalina y San Jacobo),,,Obras maestras,video 1,Inglaterra,1988,0:10:00,,,Reiner E. Moritz,"John Roberts, Hermann Wiesler",,,Konrad Kotowski,,"Elke Riemann, Stefanie Lehmann",,,,,James Greene,,,
MXIM-AV-1-10-50,Jacob van Ruisdael: The Large Forest (Jacob van Ruisdael: El bosque grande),,,Obras maestras,video 1,Inglaterra,1988,0:10:00,,,Reiner E. Moritz,"John Roberts, Karlheinz Nowald",,,Konrad Kotowski,,"Elke Riemann, Stefanie Lehmann",,,,,James Greene,,,
MXIM-AV-1-10-51,Joachim Patinier: The baptism of Christ (Joaquín Patinier: El Bautismo de Cristo),,,Obras maestras,video 1,Inglaterra,1988,0:10:00,,,Reiner E. Moritz,"John Roberts, Renate Liebenwein",,,Konrad Kotowski,,"Elke Riemann, Stefanie Lehmann",,,,,James Greene,,,
MXIM-AV-1-10-52,Hans Memling: St. John Altarpiece (Hans Memling: El retablo de San Juan),,,Obras maestras,video 1,Inglaterra,1988,0:10:00,,,Reiner E. Moritz,"John Roberts, Karlheinz Nowald",,,Konrad Kotowski,,"Elke Riemann, Stefanie Lehmann",,,,,James Greene,,,
MXIM-AV-1-10-53,Edvard Munch: Four Girls on a Jetty (Edvard Munch: Cuatro niñas en el embarcadero),,,Obras maestras,video 1,Inglaterra,1987,0:10:00,,,Reiner E. Moritz,"Evelyn Weiss, Waldemar Januszczak",,,Konrad Kotowski,,Elke Riemann,,,,,James Greene,,,
MXIM-AV-1-10-54,"Andy Warhol: The texan, Portrait of Robert Rauschenberg (Andy Warhol: El tejano. Retrato de Robert Rauschenberg)",,,Obras maestras,video 2,Inglaterra,1987,0:10:00,,,Reiner E. Moritz,"Evelyn Weiss, Waldemar Januszczak",,,Konrad Kotowski,,Elke Riemann,,,,,James Greene,,,
MXIM-AV-1-10-55,Stefan Lochner: The Madonna of the rose bower (Stefan Lochner: La virgen del rosal) ,,,Obras maestras,video 2,Inglaterra,1987,0:10:00,,,Reiner E. Moritz,"Frank Gunter Zehnder, Waldemar Januszczak",,,Konrad Kotowski,,Elke Riemann,,,,,James Greene,,,
MXIM-AV-1-10-56,Wolf Vostell: Miss América (Wolf Vostell: Señorita América),,,Obras maestras,video 2,Inglaterra,1987,0:10:00,,,Reiner E. Moritz,"Evelyn Weiss, Waldemar Januszczak",,,Konrad Kotowski,,Elke Riemann,,,,,James Greene,,,
MXIM-AV-1-10-57,Ernst Ludwig Kirchner: Five women in the street (Ernst Ludwig Kirchner: Cinco mujeres en la calle),,,Obras maestras,video 2,Inglaterra,1987,0:10:00,,,Reiner E. Moritz,"Evelyn Weiss, Waldemar Januszczak",,,Konrad Kotowski,,Elke Riemann,,,,,James Greene,,,
MXIM-AV-1-10-58,Hugo Van Der Goes: Adoration of the Magi (Hugo van Der Goes: Adoración de los magos),,,Obras maestras,video 2,Inglaterra,1987,0:10:00,,,Reiner E. Moritz,"Karlheinz Nowald, John Roberts",,,Konrad Kotowski,,Elke Riemann,,,,,James Greene,,,
MXIM-AV-1-10-59,Yves Tanguy: A las 4 de la tarde en verano Esperanza,,,Obras maestras,video 3,Inglaterra,1989,0:10:00,,,Reiner E. Moritz,"Irene Newton, Karin Von Maur",,,Frederic Variot ,,"Elke Riemann, Stefanie Lehmann",,,,,James Greene,,,
MXIM-AV-1-10-60,Sonia Delaunay: Electric Prisms,,,Obras maestras,video 3,Inglaterra,1989,0:10:00,,,Reiner E. Moritz,"Elizabeth Clegg, Marina Schneede",,,Frederic Variot ,,"Elke Riemann, Stefanie Lehmann",,,,,James Greene,,,
MXIM-AV-1-10-61,Karl Friedrich Schinkel: Medieval city on the banks of a river,,,Obras maestras,video 3,Inglaterra,1987,0:10:00,,,Reiner E. Moritz,"Karlheinz Nowald, Waldemar Januszczak",,,Konrad Kotowski,,Elke Riemann,,,,,Bob Peck,,,
MXIM-AV-1-10-62,Stanley Spencer: The Resurrection Cookham,,,Obras maestras,video 3,Inglaterra,1986,0:10:00,,,Reiner E. Moritz,Edwin Mullins,,,Konrad Kotowski,,Elke Riemann,,,,,Edwin Mullins,,,
MXIM-AV-1-10-63,Louis or Antoine Le Nain: Peasant Family,,,Obras maestras,video 3,Inglaterra,1989,0:10:00,,,Reiner E. Moritz,"Juliette Gawade, Karlheinz Nowald",,,Frederic Variot ,,Elke Riemann,,,,,James Greene,,,
