DÉCADA 1980-1989,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-10-17,Jornaleros del tiempo,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-18,Koyaanisqatsi: life out of the balance (Koyaanisqatsi: Vida fuera de equilibrio),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-19
MXIM-AV-1-10-19,La cultura del caracol púrpura como patrimonio nacional,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-20,La decisión de vencer (Los primeros frutos),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-26
MXIM-AV-1-10-21,La neta no hay futuro,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-22,La república perdida II,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-06-18
MXIM-AV-1-10-23,Laguna de dos tiempos,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-24,"Laguna del Ostión. Acayucan , Ver.",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-25,Lenguaje audiovisual,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-26,Malcolm Lowry en México,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-27,Mara'acame. Cantador y curandero,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-28,Mi hijo el Ché,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-29,Milano ´83,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-19
MXIM-AV-1-10-30,Une histoire de vent (Una historia de viento),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-21
MXIM-AV-1-10-31,Nadie es inocente,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-32,"New York, N.Y.",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-19
MXIM-AV-1-10-33,Sans Soleil,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-34,Portraits d'Alain Cavalier  (Retratos de Alain Cavalier),,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-35,Powaqqatsi,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-19
MXIM-AV-1-10-36,"Purépechas, los que viven la vida",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-37,Reporters (Reporteros),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-27
MXIM-AV-1-10-38,Rescate de la abeja nativa de Yucatán,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-39,Reunión de madres y padres (en una escuela secundaria) VIDEO MOTIVACIONAL. ,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-26
MXIM-AV-1-10-40,Urgencias,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-27
MXIM-AV-1-10-41,"Tiempo de victoria: El Salvador, ocho años de guerra",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-26
MXIM-AV-1-10-42,"Saumialuk ""Le Grand Gaucher""",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-43,Semana Santa entre los mayos,,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-44,"Taller de trovadores Xichu, Gto.",,,Adaptación de la norma ISAD (G),0000-00-00
MXIM-AV-1-10-45,Knochenumbettung,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-21
MXIM-AV-1-10-46,La balada del pequeño soldado,http://www.avalon.me/  http://www.wernerherzog.com/102.html,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-6
MXIM-AV-1-10-47,Mer dare ó Nas vek,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-20
MXIM-AV-1-10-48,Sir Anthony Van Dyck: Samson and Delilah (Sir. Antonio van Dyck: Sanson y Dalila),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-10-49,Lorenzo Lotto: Madonna and Child (Lorezo Lotto: Virgen con el niño con Santa Catalina y San Jacobo),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-10-50,Jacob van Ruisdael: The Large Forest (Jacob van Ruisdael: El bosque grande),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-10-51,Joachim Patinier: The baptism of Christ (Joaquón Patinier: El Bautismo de Cristo),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-10-52,Hans Memling: St. John Altarpiece (Hans Memling: El retablo de San Juan),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-10-53,Edvard Munch: Four Girls on a Jetty (Edvard Munch: Cuatro niñoas en el embarcadero),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-7
MXIM-AV-1-10-54,"Andy Warhol: The texan, Portrait of Robert Rauschenberg (Andy Warhol: El tejano. Retrato de Robert Rauschenberg)",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-8
MXIM-AV-1-10-55,Stefan Lochner: The Madonna of the rose bower (Stefan Lochner: La virgen del rosal) ,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-8
MXIM-AV-1-10-56,Wolf Vostell: Miss América (Wolf Vostell: Señorita América),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-8
MXIM-AV-1-10-57,Ernst Ludwig Kirchner: Five women in the street (Ernst Ludwig Kirchner: Cinco mujeres en la calle),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-8
MXIM-AV-1-10-58,Hugo Van Der Goes: Adoration of the Magi (Hugo van Der Goes: Adoración de los magos),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-8
MXIM-AV-1-10-59,Yves Tanguy: A las 4 de la tarde en verano Esperanza,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-13
MXIM-AV-1-10-60,Sonia Delaunay: Electric Prisms,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-10-61,Karl Friedrich Schinkel: Medieval city on the banks of a river,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-10-62,Stanley Spencer: The Resurrection Cookham,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-10-63,Louis or Antoine Le Nain: Peasant Family,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-15
MXIM-AV-1-10-64, John Everett Millais: Ophelia,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-8
MXIM-AV-1-10-65,Andrea Mantegna: Crucifixion of Christ,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-05-13
MXIM-AV-1-10-66,"Divine horsemen, The living Gods of Haiti (Jinetes Divinos: Los Dioses Vivientes de Haití)",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-18
MXIM-AV-1-10-67,La matelassière (La colchonera),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-27
MXIM-AV-1-10-68,La fileuse (La hilandera),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-27
MXIM-AV-1-10-69,La trempeuse (La florista),,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-27
MXIM-AV-1-10-70,L'orangère,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-27
MXIM-AV-1-10-71,La brodeuse,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-09-27
MXIM-AV-1-10-72,La dame-lavabo,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-3
MXIM-AV-1-10-73,La relieuse,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-3
MXIM-AV-1-10-74,La  bistrote,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-3
MXIM-AV-1-10-75,La canneuse,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-3
MXIM-AV-1-10-76,La repasseuse,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-3
MXIM-AV-1-10-77,La rémouleuse,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-3
MXIM-AV-1-10-78,La maítre-verrier,,Úrsula Mares,Adaptación de la norma ISAD (G),2012-10-3
MXIM-AV-1-10-79,First Contact. New Guinea's highlanders encounter the outside world. ,,Elisa D. Espinosa,Adaptación de la norma ISAD (G),2014-05-6
MXIM-AV-1-10-80,Después de…,,Elisa D. Espinosa,Adaptación de la norma ISAD (G),2014-05-6
MXIM-AV-1-10-81,Después de... No se os puede dejar solos,,Elisa D. Espinosa,Adaptación de la norma ISAD (G),2014-06-3
MXIM-AV-1-10-82,Después de... Atado y bien atado,,Elisa D. Espinosa,Adaptación de la norma ISAD (G),2014-06-3
MXIM-AV-1-10-83,La isla de las flores,,Elisa D. Espinosa,Adaptación de la norma ISAD (G),2014-06-6
MXIM-AV-1-10-84,Corresponsales de guerra I y II,,         Elisa D. Espinosa,Adaptación de la norma ISAD (G),2013-10-26
MXIM-AV-1-10-85,Corresponsales de guerra III y IV,El disco está en blanco.,,,0000-00-00
MXIM-AV-1-10-86,The Social Life of Small Urban Space (La socalización en los pequeños espacios urbanos),,Elisa D. Espinosa,Adaptación de la norma ISAD (G),2014-06-2
MXIM-AV-1-10-87,San Clemente,"Este documental tenía el código MXIM-AV-1-10-41 , el cual coincide con ""Tiempo de victoria: El Salvador, ocho años de guerra"", pero en esté ECXEL el film ""San Clemente"" no estaba identificado.",Elisa D. Espinosa,Adaptación de la norma ISAD (G),2014-07-14
