DÉCADA 2000-2009,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
MXIM-AV-1-12-14,"Chiapas: la guerra y la paz, 1994-2004",Usos reservados para consulta in situ,,Español,,,DVD,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-15,Chido mi banda. chido mi barrio,Usos reservados para consulta in situ,,Español,,,,1 vhs / 1 dvd,copia,Color,,,,
MXIM-AV-1-12-16,Abriendo Brecha,Usos reservados para consulta in situ,,"Español, nahua",,Español,DVD,1 dvd,copia,"Color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-12-17,Ciudad olimpia. El año en que fuimos modernos.,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia de producción,"Color, blanco y negro",,NTSC,Región 4,Reproductor VHS y monitor
MXIM-AV-1-12-18,"Congos, ritmo e devocao",Usos reservados para consulta in situ,,Portugués,,,DVD,1 dvd,copia de producción,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-12-19,Conservación álbumes fotográficos,Usos reservados para consulta in situ,,Español,,,,2 vhs / 1 dvd ,1 vhs copia de producción / 1 vhs y 1 dvd copia,Color,,,,
MXIM-AV-1-12-20,Corazón de fábrica,Usos reservados para consulta in situ,,Español,Portugués,,DVD, 1 dvd,copia,Color,,PAL,,Reproductor VHS y monitor
MXIM-AV-1-12-21,Creación audiovisual. Documental comunitario,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia de producción,,,NTSC,,
MXIM-AV-1-12-22,¡Viva México!,Usos reservados para consulta in situ,,"Español, inglés",,español,DVD,1 dvd,copia de producción,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-23,De dolor y esperanza. El asilo un pasado presente,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd,copia de producción,Color/Blanco y negro,,NTSC,Región 4,Reproductor VHS y monitor
MXIM-AV-1-12-24,De Duchamp au Pop Art,Usos reservados para consulta in situ,,Francés/alemán/inglés/italiano/español,,,VHS,1 vhs,copia,Color/Blanco y negro,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-25,"De la tinta a la imagen, Memorias y tradiciones de mi ciudad",Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,,,,,Reproductor DVD y monitor de TV
MXIM-AV-1-12-26,De la tele a la boca… una reflexión sobre desarrollo infantil y salud,Usos reservados para consulta in situ,,Español,,,VHS,,,Color/Blanco y negro,,NTSC,Región 4,Reproductor VHS y monitor
MXIM-AV-1-12-27,"De nadie (Retrato de los ""invisibles"")",Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,copia,Color,,,,
MXIM-AV-1-12-28,O arquitecto e a cidade velha,Usos reservados para consulta in situ,,Portugués,,"Castellano, francñes, inglés",DVD,1 dvd,copia de producción,Color,,PAL 4:3,,Reproductor DVD y monitor de TV
MXIM-AV-1-12-29,Deux films d´Agnes Varda,Usos reservados para consulta in situ,,,,,DVD,1 vhs,copia,Color,Stéreo,PAL,Región 9,Reproductor VHS y monitor de TV
MXIM-AV-1-12-30,The filth and the fury. A sex pistols film,Usos reservados para consulta in situ,,Inglés,,Español,DVD,2 dvd,copia de producción / copia,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-12-31,"Diosa en el silencio azul. Isla Guadalupe, santuario del tiburon blanco.",Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia de producción,Color,Audio Stéreo,NTSC,Región 4,Reproductor DVD y monitor de TV
MXIM-AV-1-12-32,Obras documentais de Alain Resnais,Usos reservados para consulta in situ,,,,,,1 dvd,copia,,,,,
MXIM-AV-1-12-33,Documentales de Teatro mexicano,Usos reservados para consulta in situ,,,,,,,,,,,,
MXIM-AV-1-12-34,El alma de los verdugos,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-35,El arenal,Usos reservados para consulta in situ,,Portugués,,Español,DVD,1 dvd,copia,,,,,
MXIM-AV-1-12-36,El arte de hacer ciudad,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd, copia de producción,Color,,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-37,El cielo gira,Usos reservados para consulta in situ,,"Español, árabe",,"Francés, Inglés, Español",DVD,1 dvd,copia,Color,Dolby Digital,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-38,El ciruelo. La desaparición de un pueblo bajo las aguas,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd, copia de producción,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-39,El desafío indígena: la marcha zapatista,Usos reservados para consulta in situ,,,,,,1 vhs,copia de producción,,,,,
MXIM-AV-1-12-40,El memorial del 68,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd, copia de producción,"Color, Blanco y negro",,NTSC,Región 0,Reproductor DVD y monitor
MXIM-AV-1-12-41,El món dels pioners 1906-1913,Usos reservados para consulta in situ,,Catalán,,,DVD,2 dvd,copia,"Color, Blanco y negro, blanco y negro virado a naranja, azul, sepia, morado, verde, ",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-42,El otro muro,Usos reservados para consulta in situ,,Árabe-hebreo,,Español,DVD,1 dvd,copia de producción,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-12-43,Viva San Jerónimo. Coatepec: Memoria y Tradición,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-44,El Rey,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia de producción,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-45,Voces de la guerrero,Usos reservados para consulta in situ,,Español,,,,1 dvd ,copia de producción,Color,,,,
MXIM-AV-1-12-46,El triángulo de Tacubaya,Usos reservados para consulta in situ,,Español,,,VHS / DVD,1 vhs  / 1 dvd,copias,"Color, blanco y negro",,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-47,La historia del racismo,Usos reservados para consulta in situ,,"Español, inglés",,Español,VHS,1 vhs ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-48,El yalalteco nunca se acaba,Usos reservados para consulta in situ,,Zapoteco-Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-49,Voladora,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-50,En el hoyo,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-51,En torno al caso de Rosalie Evans,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia,,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-52,"Entre memoria e identidad, Testimonios de descendientes de inmigrantes franceses en México",Usos reservados para consulta in situ,,,,,DVD,2 dvd ,copia de producción,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-53,Estadio Nacional,Usos reservados para consulta in situ,,Español,,"Inglés, francés",DVD,1 dvd,copia,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-54,Estudio histórico demográfico de la migración judía a México 1900-1950,Usos reservados para consulta in situ,,Español,,,CD-ROM,1 cd-rom,copia de producción,"Color, blanco y negro",,,,Computadora: Necesita instalarse en la computadora
MXIM-AV-1-12-55,"Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen",Usos reservados para consulta in situ,,,,,VHS / DVD,1 vhs / 1 dvd,copia ,Bblanco y negro,Sin sonido,NTSC,,Reproductor VHS / DVD y monitor
MXIM-AV-1-12-55-3,Ausritt des Sultans von Korbo,Usos reservados para consulta in situ,,,,,VHS / DVD,1 vhs / 1 dvd,copia ,Bblanco y negro,Sin sonido,NTSC,,Reproductor VHS / DVD y monitor
MXIM-AV-1-12-56,Etre et avoir (Ser y tener),Usos reservados para consulta in situ,,,,,,1 dvd,copia,,,,,
MXIM-AV-1-12-57,"Exotic Europe, Journeys into early cinema",Usos reservados para consulta in situ,,Inglés,,,VHS,1 vhs ,copia,Blanco y negro,Dolby sorround,NTSC,,
MXIM-AV-1-12-58,Fahrenheit 9/11,Usos reservados para consulta in situ,,Inglés,Español,Español,DVD,2 dvd,copia de producción / copia,Color,Stéreo 2.0 y 5.1 ,,,Reproductor DVD y monitor
MXIM-AV-1-12-59,Farmingville,Usos reservados para consulta in situ,,"Español, inglés",,"Inglés, español",DVD,1 dvd,copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-60,"Food, inc.",Usos reservados para consulta in situ,,Inglés,,español,DVD,1 dvd ,copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-61,Fraude México 2006,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia de producción,"Color, blanco y negro", Dolby digital 5.1,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-62,Cavallo entre rejas,Usos reservados para consulta in situ,,"Español, inglés",,,DVD,2 dvd,copia de producción ,"color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-63,Artes y oficios mexicanos,Usos reservados para consulta in situ,,Español,,,DVD,1 vhs,copia de producción,"color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-12-64,"Halcones, terrorismo de Estado",Usos reservados para consulta in situ,,"Español, inglés",,español,DVD,1 dvd,copia,"color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-12-65,Hartos Evos aquí hay. Los cocaleros del Chapare,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia,color,,,,Reproductor DVD y monitor
MXIM-AV-1-12-66,Hernando,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-67,H.I.J.O.S. El alma en dos,Usos reservados para consulta in situ,,"Español, francés",,"inglés, español",DVD,1 dvd,copia,"color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-12-68,Historias cruzadas,Usos reservados para consulta in situ,,"Portugués, francés",,español,DVD,1 dvd,copia,,,,,Reproductor DVD y monitor
MXIM-AV-1-12-69,"Historia de la TV mexicana, El gran invento",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-70,Historia de la TV mexicana 2. La vocación de entretener,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-71,Historia de la TV mexicana 3. Dando la noticia,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-72,Historia de la TV mexicana 4. Ernesto Alonso: el señor telenovela,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-73,Historia de la TV mexicana 5. Soñar en telenovela,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-74,Historia de la TV mexicana 6. La imaginación televisiva,Usos reservados para consulta in situ,,Español,,,VHS,2 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-75,Historia del rock mexicano I. Yo no era reberlde: Rock mexicano 1957-1970,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-76,Historia del rock mexicano II. La célula que explota: rock mexicano 1970-1999,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-77,Historia del seguro social,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-78,Lo mejor de la Revolución Mexicana,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia de producción,,,,,
MXIM-AV-1-12-79,Camaristas. Autorretratos indígenas,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia de producción,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-80,Jorge,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-81,10 de junio. Crimen de Estado,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia de producción,Color,Super 8,,,Reproductor DVD y monitor
MXIM-AV-1-12-82,"Justicia, protesta por los asesinatos de mujeres en Ciudad Juárez",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-83,"Km. C-62, un nómada del riel",Usos reservados para consulta in situ,,Español,,,VHS,2 vhs,copias de produccón,Color/Blanco y negro,,NTSC,multiregión,Reproductor VHS  y monitor
MXIM-AV-1-12-84,La palabra desenterrada,Usos reservados para consulta in situ,,Quiché-Español-Francés,,Español,VHS,1 vhs / 1 dvd,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-85," Lacandona, medio siglo de sueños",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color/Blanco y negro,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-86,La condición humana de las mujeres,Usos reservados para consulta in situ,,Español,,,"VHS, DVD",1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color/Blanco y negro,,NTSC,,Reproductor VHS/DVD y monitor
MXIM-AV-1-12-87,"La Coronela 1940, Punto de Partida",Usos reservados para consulta in situ,,Español,,,VHS/ DVD,1 vhs / 1 dvd,copias,"Color, blanco y negro",Stéreo,NTSC,región 4,Reproductor VHS/DVD  y monitor
MXIM-AV-1-12-88, La decena trágica I,Usos reservados para consulta in situ,,Español,,"Inglés, español, portugués",DVD,1 dvd,copia de producción,"Color, Blanco y negro",Dolby digital,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-89,La decena trágica II,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,copia de producción,"Color, Blanco y negro",Digital surround,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-90,La decena trágica III,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,copia de producción,"Color, Blanco y negro",Digital surround,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-91,La decena trágica IV,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,copia de producción,"Color, Blanco y negro",Digital surround,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-92,La expedición punitiva,Usos reservados para consulta in situ,,"Español, inglés",,,DVD,1 dvd,copia de producción,"Color, Blanco y negro",Digital surround,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-93,Los rebeldes del sur,Usos reservados para consulta in situ,,"Español, inglés",,"Inglés, español, portugués",DVD,1 dvd,copia de producción,"Color, Blanco y negro",Dolby digital,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-94,Registro no. 1137: Máscara de muerte de Pancho Villa,Usos reservados para consulta in situ,,"Español, inglés",,"Inglés, español, portugués",DVD,1 dvd,copia de producción,"Color, Blanco y negro",Dolby digital,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-95,Los rollos perdidos de Pancho Villa,Usos reservados para consulta in situ,,"Español, Inglés",,"Inglés, español, francés","DVD, VHS",1 dvd,copia de producción,"Color, blanco y negro",,NTSC,,Reproductor DVD/VHS y monitor
MXIM-AV-1-12-96,Acme & Co. Historia del cine viajero,Usos reservados para consulta in situ,,Español,,Ingés,DVD,1 dvd,copia de producción,"Blanco y negro, color",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-97,"¡Zapata vive, la lucha sigue!...",Usos reservados para consulta in situ,,"Español, inglés",,,DVD,1 dvd,copia de producción,"Color, Blanco y negro",Digital surround,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-98,La pesadilla de Darwin (Darwin`s nightmare),Usos reservados para consulta in situ,,Inglés,,Español,DVD,2 dvd,copia de producción / copia,Color,Dolby digital,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-12-99,Operación Galeana,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia,"color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-100,Las familias somos…,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia,Color,,,,Reproductor VHS y monitor
MXIM-AV-1-12-101,Las huellas del arpón,Usos reservados para consulta in situ,,Español,,,DVD,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-12-102,El tucumanazo,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia de producción,"Color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-12-103,The big sell out,Usos reservados para consulta in situ,,"Inglés, español",,Español,DVD,2 dvd,copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-12-104,Los Tarapaqueños Peruanos: Testimonios de su Historia,Usos reservados para consulta in situ,,,,,VHS,1 vhs ,copia de producción,Color,Stéreo,,,Reproductor VHS y monitor
MXIM-AV-1-12-105,La vida en México de 1940 a 1994        capitulo 1,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia,Color,,,,Reproductor VHS y monitor
MXIM-AV-1-12-106,La vida en México de 1940 a 1994       capítulo 3,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia,Blanco y negro,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-107,Le Crime de Zacarias Barrientos,Usos reservados para consulta in situ,,"Español, Francés",,inglés,VHS,1 dvd,copia de producción,"Color, blanco y negro",Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-108,Digna Ochoa,Usos reservados para consulta in situ,,Español,,inglés,DVD,1 dvd,copia de producción,"Color, blanco y negro",Estéreo,NTSC,Multiregión,Reproductor DVD y monitor
MXIM-AV-1-12-109,Los capitanes de la industria,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-110,Los cosechadores y yo,Usos reservados para consulta in situ,,Francés,,,,1 dvd,copia de producción,Color,Dolby digital stereo 2.0,,,
MXIM-AV-1-12-111,Los demonios del Edén,Usos reservados para consulta in situ,,Español,,,DVD,2 dvd ,copias,Color,Dolby digital,NTSC,Región 1,Reproductor DVD y monitor
MXIM-AV-1-12-112,"Los frutos de ""El Dorado""",Usos reservados para consulta in situ,,Español,,,VHS,,,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-113,Los Ladrones viejos. Las leyendas del Artegio,Usos reservados para consulta in situ,,Español,,,DVD,2 dvd,copias,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-12-114,Los niños de Morelia,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd ,copia de producción,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-115,Los pasos del cantador,Usos reservados para consulta in situ,,"Huichol, español",,Español,DVD,1 dvd,copia,Color,,,,
MXIM-AV-1-12-116,Zapatistas crónica de una rebelión,Usos reservados para consulta in situ,,Español,,inglés,DVD,1 dvd,copia de producción,Color,Estéreo,NTSC,Multiregión,Reproductor DVD y monitor
MXIM-AV-1-12-117,Los Super Amigos,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-118,Los últimos zapatistas,Usos reservados para consulta in situ,,Español,,,,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,,NTSC,,
MXIM-AV-1-12-119,LT22 Radio La Colifata,Usos reservados para consulta in situ,,"Español, francés",,Inglés,DVD,1 dvd ,copia,Color,,NTSC,,Reproductor DVD/VHS y monitor
MXIM-AV-1-12-120,La hazaña de Monterrey,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-121,Lucio,Usos reservados para consulta in situ,,"Español, francés, inglés",,"Inglés, francés",,1 dvd,copia de producción,"Color, blanco y negro",,PAL,región 9,Reproductor DVD  y monitor
MXIM-AV-1-12-122,Habla el ERPI,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia de producción,"color, blanco y negro",Estéreo,NTSC,Multiregión,Reproductor DVD y monitor
MXIM-AV-1-12-123,Maquilapolis,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,,,,,
MXIM-AV-1-12-124,Marcha de la vida,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia de producción,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-125,Venceréis pero no convenceréis,Usos reservados para consulta in situ,,Español,,,DVD,2 vhs,copia de producción / copia,Color/Blanco y negro,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-12-126,Más allá de petates y faenas. La Petatera,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-12-127,Marianela. Convivir con S.U.H.,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,copia,Color,,PAL,,Reproductor VHS y monitor
MXIM-AV-1-12-128,México bajo la óptica de Juan Guzmám,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd ,copia de producción,"Color,Blanco y negro",,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-12-129,Mi vida dentro,Usos reservados para consulta in situ,,"Español, inglés",,"Inglés, español",DVD,1 dvd,copia,color,,,,Reproductor DVD  y monitor
MXIM-AV-1-12-130,Nacidos en el Burdel (Born Into Brothels: Calcuttas Red Light Kids),Usos reservados para consulta in situ,,"Indi, inglés",,,DVD,1 dvd,copia,"Color,Blanco y negro",Dolby Digital,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-12-131,"Nanook of the north (Nanook, del norte)",Usos reservados para consulta in situ,,Muda,,,DVD,1 dvd,copia,Blanco y negro,Doby Digital 2.0,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-12-132,Naqoyqatsi,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,copia,Color/Blanco y negro,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-12-133,Nietos. Identidad y memoria,Usos reservados para consulta in situ,,Español,,"Inglés, portugués, francés, italiano",DVD,1 dvd,copia,Color/Blanco y negro,Doby Digital 2.0,,Región 4 y 1,Reproductor DVD  y monitor
MXIM-AV-1-12-134,Nikita Kino,Usos reservados para consulta in situ,,Francés-Inglés,,Inglés,VHS / DVD,1 vhs / 1 dvd,copias,Color/Blanco y negro,monoaural,NTSC,,
MXIM-AV-1-12-135,La travesía,Usos reservados para consulta in situ,,Polaco,,Español,DVD,1 dvd,copia,Color/Blanco y negro,Dolby Digital,NTSC,Región 4 y 1,Reproductor DVD  y monitor
MXIM-AV-1-12-136,Niños con sobrepeso,Usos reservados para consulta in situ,,Inglés,Español,Español/Inglés,DVD,2 dvd,copia de producción / copia,Color,Dolby digital 2.0 ,,,Reproductor DVD y monitor
MXIM-AV-1-12-137,NO-DO. El tiempo y la memoria,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,copia,Color/Blanco y negro,,PAL,,
MXIM-AV-1-12-138,Notre musique,Usos reservados para consulta in situ,,"Francés, español, inglés",,Inglés,DVD,1 dvd,copia,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-12-139,Tierra Menonita,Usos reservados para consulta in situ,,"plattdeutsch, español",,español,VHS,1 vhs ,copia de producción,Color,,NTSC,,Reproductor VHS  y monitor
MXIM-AV-1-12-140,"Obras maestras, Canal Once TV, video 1",Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
