DÉCADA 2010-2019,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
MXIM-AV-1-13-11,Nosotros… los otros. Afrodescendientes,Usos reservados para consulta in situ,,Español. Lenguaje de señas,,,DVD,2 dvd ,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-12,Nosotros… los otros. Derechos de los niños  y niñas,Usos reservados para consulta in situ,,Español. Lenguaje de señas,,,DVD,2 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-13,Sembradores de agua y vida,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-14,Nosotros… los otros. Jóvenes,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,2 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-15,"Agrimensura y cartografía en México, 1720-1920",Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-16,En el cuerpo equivocado,Usos reservados para consulta in situ,,Español,,,DVD / VHS,1 vhs / 1 dvd,Copia,Color,,,,Reproductor DVD / VHS  y monitor TV
MXIM-AV-1-13-17,"Más allá del reglamento, Avatares de un embajador mexicano, Vicente Muñiz arroyo 1974-1977",Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia de producción,"Colo, blanco y negro",,NTSC,,Reproductor DVD y monitor TV
MXIM-AV-1-13-18,"Palabra de fotógrafo, Testimonios sobre el 68",Usos reservados para consulta in situ,,Español,,,DVD,2 dvd,Copia de producción,"Colo, blanco y negro",,NTSC,Región 4,Reproductor DVD y monitor TV
MXIM-AV-1-13-19,Trabajo de campo en tiempos violentos,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia de producción,Color,,,,Reproductor DVD y monitor TV
MXIM-AV-1-13-20,Nosotros… los otros. Discriminación laboral,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-21,Nosotros… los otros. Denegación de la justicia,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-22,Nosotros… los otros. Discriminación política,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-23,Nosotros… los otros. Medios y discriminación,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-24,Nosotros… los otros. Pobreza y exclusión,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-25,Nosotros… los otros. Educación y discriminación,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-26,Nosotros… los otros. Violencia y discriminación,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-27,Nosotros… los otros. Tolerancia,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-28,Nosotros… los otros. El color de la piel,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-29,Nosotros… los otros. Desarrollo humano,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-30,Nosotros… los otros. Diversidad religiosa,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-31,Nosotros… los otros. Procesos sociales y discriminación,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-32,Nosotros… los otros. Futbol y discriminación,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-33,"Toscanito, coleccionista de historias",Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia,"Color, blanco y negro, blanco y negro virado a verde, naranja",,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-34,Ilha Grande em outros tempos,Usos reservados para consulta in situ,,Portugués,,,DVD ,1 dvd,Copia de producción,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-35,O desejo do saber,Usos reservados para consulta in situ,,Portugués,,,DVD ,2 dvd,"Copia de producción, copia","Color, blanco y negro",,,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-36,La maleta mexicana,Usos reservados para consulta in situ,,"Inglés, castellano, catalán",,"Castellano, catalán",DVD,1 dvd,Copia de producción,Color,,PAL,ZONA 2,Reproductor DVD y monitor de TV
MXIM-AV-1-13-37,"Huapango totonaco: herencia de los abuelos, préstamo de Dios",Usos reservados para consulta in situ,,"Español, totonaco",,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-13-38,Mira mi voz,Usos reservados para consulta in situ,,"Español, lenguaje de señas",,Español,DVD ,1 dvd,Copia,Color,,,,Reproductor DVD y Monitor 
MXIM-AV-1-13-39,Falamos de António Campos,Usos reservados para consulta in situ,,Portugués,,Inglés,DVD ,1 dvd,Copia,"Color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-13-40,Las manos en la tierra,Usos reservados para consulta in situ,,Español,,,DVD,1 vhs / 1 dvd,Copias,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-41,Un día con San Judas,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-42,5 cámaras rotas,Usos reservados para consulta in situ,,Árabe,,Español,DVD,1 dvd,Copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-13-43,"Tijuaneados anónimos: una lágrima, una sonrisa",Usos reservados para consulta in situ,,"Español, inglés",,"Inglés, español",DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-44,"Axotla, Pueblo vivo",Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia de producción,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-45,Borreguito,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-46-1,El secreto del alcohol,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-46-2,La calle de los niños,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-46-3,El yalcalteco nunca se acaba,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-46-4,Camaristas. Autorretratos indígenas,Usos reservados para consulta in situ,,"Español, tojolabal",,Inglés,DVD,1 dvd,,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-46-5,Artes y oficios mexicanos,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-46-6,Historias de gente grande,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-46-7,"Lacandona, medio siglo de años",Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-46-8,Mexicanerías. Construyendo el México típico,Usos reservados para consulta in situ,,Español,,Inglés,DVD,1 dvd,,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-46-9,Trabajo de campo en tiempos violentos,Usos reservados para consulta in situ,,,,,DVD,1 dvd,,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-47,Passados Presentes,Usos reservados para consulta in situ,,Portugués,,"Ingles, francés",DVD,1 dvd,,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-13-48,Sobre Rieles,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Portada serigrafiada,Color,,,,
MXIM-AV-1-13-49,Las Mujeres Sistemales,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Portada serigrafiada,Color,,,,
