"codigo_de_referencia","existencia_y_localizacion_de_copias","unidades_de_descripcion_relacionadas","documentos_asociados"
"MXIM-AV-1-13-46-7","","",""
"MXIM-AV-1-13-46-8","","",""
"MXIM-AV-1-13-46-9","","",""
"MXIM-AV-1-13-47","Página UFFTUBE Portal de vídeos :  http://ufftube.uff.br/video/3D39427215O2/Passados-Presentes--mem%C3%B3ria-negra-no-sul-fluminense","",""
"MXIM-AV-1-13-48","","",""
"MXIM-AV-1-13-49","","",""
"MXIM-AV-1-13-5","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","Unidades relacionadas con la temática de la migración de México.                                                                                                    Al otro lado MXIM-AV-1-12-5,                                                                   De nadie MXIM-AV-1-12-27,                                                           El salitre, esbozo de una historia en fuga MXIM-AV-1-12-231","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213              Centro de Derechos Humanos de la Montaña Tlachinollan: http://www.tlachinollan.org "
"MXIM-AV-1-13-6","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213           Comité Internacional Prociegos http://www.prociegos.com/                                                                   Libre Acceso http://www.libreacceso.org/                                                                                              Confe (Confederación Mexicana de Organizaciones en favor de la persona con discapacidad intelectual): http://www.confe.org.mx/                                                                                                     C.A.I. Piña Palmera, AC-Pochutla, Oaxaca http://www.pinapalmera.org/                                                Red Integra-Cd. Juárez Chihuahua http://www.integra.org.mx/"
"MXIM-AV-1-13-7","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","Temática: feminicidios y discriminación a la mujer.  ","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213           Instituto Nacional de las mujeres: http://www.inmujeres.gob.mx/                                                         Centro de atención a la violencia doméstica: http://www.ilef.com.mx/ilef_014.htm                            Mujeres Aportando a Mujeres: www.mujeresmam.org.mx"
"MXIM-AV-1-13-8","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213             Centro de Apoyo y Capacitación para Empleadas del Hogar http://conlactraho.org/page1/page12/page12.html                                                                   Confederación Latinoamericana y del Caribe de Trabajadoras del Hogar http://conlactraho.org/quienes.html"
"MXIM-AV-1-13-9","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
