"codigo_de_referencia","titulo_propio","titulo_paralelo","titulo_atribuido","titulo_de_serie","numero_de_programa","pais","fecha","duracion","investigacion","realizacion","direccion","guion","adaptacion","idea_original","fotografia","fotografia_fija","edicion","sonido_grabacion","sonido_edicion","musica_original","musicalizacion","voces","actores","animacion","otros_colaboradores"
"MXIM-AV-1-10-62","Stanley Spencer: The Resurrection Cookham","","","Obras maestras","Programa 3","Inglaterra","1986","00:10:00","","","Reiner E. Moritz","Edwin Mullins","","","Konrad Kotowski","","Elke Riemann","","","","","Edwin Mullins","","",""
"MXIM-AV-1-10-63","Louis o Antoine Le Nain: Peasant Family","","Louis o Antoine Le Nain:Una familia de campesinos","Obras maestras","Programa 3","Inglaterra","1989","00:10:00","","","Reiner E. Moritz","Juliette Gawade, Karlheinz Nowald","","","Frederic Variot","","Elke Riemann","","","","","James Greene","","",""
"MXIM-AV-1-10-64","John Everett Millais: Ophelia","","John Everett Millais: Ofelia","Obras maestras","Programa 4","Inglaterra","1986","00:10:00","","","Reiner E. Moritz","Edwin Mullins","","","Konrad Kotowski","","Elke Riemann","","","","","Edwin Mullins","","",""
"MXIM-AV-1-10-65","Andrea Mantegna: Crucifixion of Christ","","","Obras maestras","Programa 4","Inglaterra","1989","00:10:00","","","Reiner E. Moritz","Sandy Gill, Hermann Wiesler","","","Frederic Variot","","Elke Riemann","","","","","James Green","","",""
"MXIM-AV-1-10-66","Divine horsemen, The living Gods of Haiti","Jinetes Divinos: Los Dioses Vivientes de Haití","","","","Estados Unidos","1985","00:50:36","","Maya Deren","","","","","Maya Deren","","Cherel Ito","","Teiji Ito","Teiji Ito","","John Genke, Joan Pape","","Yudel Kyler",""
"MXIM-AV-1-10-67","La matelassière","La colchonera","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:12:20","","Alain Cavalier","","","","","Jean-Francois Robin","","","Alain Lachassagne","","","Jerome Petitgirard","Alain Cavalier","","","Asistente: Nicolas Friedrich"
"MXIM-AV-1-10-68","La fileuse","La hilandera","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:13:00","","Alain Cavalier","","","","","Pierre-Laurent Chénieux","","Marie-Dominique Arto","","","","Jerome Petitgirard","Alain Cavalier","","","Asistente: Nicolas Friedrich"
"MXIM-AV-1-10-69","La trempeuse","","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:12:58","","Alain Cavalier","","","","","Jean-Francois Robin","","Marie-Dominique Arto","Alain Lachassagne","","","Jerome Petitgirard","Alain Cavalier","","","Asistente: Nicolas Friedrich"
"MXIM-AV-1-10-7","Una mayordomía","","","","","México","1980","00:55:00","Diana Roldán, Gabriela Salinas, Blanca Alonso.","Juan Carlos Colín F.","","Diana Roldán B.","","","Henner Hofmann, Juan Carlos Colín F., Victor Gaytán","","Fernando Pardo","Enrique García, Fernando Cámara","","","","","","","Félix Baez-Jorge"
"MXIM-AV-1-10-70","L'orangère","","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:12:56","","Alain Cavalier","","","","","Jean-Francois Robin","","Marie-Dominique Arto","Alain Lachassagne","","","Jerome Petitgirard","Alain Cavalier","","","Asistente: Nicolas Friedrich"
"MXIM-AV-1-10-71","La brodeuse","La bordadora","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:12:56","","Alain Cavalier","","","","","Pierre-Laurent Chénieux","","Isabel Dedieu","Alain Lachassagne","","","Jerome Petitgirard","Alain Cavalier","","","Asistente: Nicolas Friedrich"
"MXIM-AV-1-10-72","La dame-lavabo","La dama del lavabo","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:01:34","","Alain Cavalier","","","","","Jean-Noel Ferragut","","Sophie Durand","Pierre Lorrain","","","Jerome Petitgirard","Alain Cavalier","","","Asistente: Nicolas Friedrich"
"MXIM-AV-1-10-73","La relieuse","La encuadernadora","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:12:56","","Alain Cavalier","","","","","Pierre-Laurent Chénieux","","Marie-Dominique Arto","Philippe Combes","","","Jerome Petitgirard","Alain Cavalier","","","Asistente: Nicolas Friedrich"
"MXIM-AV-1-10-74","La bistrote","","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:01:33","","Alain Cavalier","","","","","Jean-Noel Ferragut","","Sophie Durand","Pierre Lorrain","","","Jerome Petitgirard","Alain Cavalier","","","Asistente: Nicolas Friedrich"
"MXIM-AV-1-10-75","La canneuse","","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:01:34","","Alain Cavalier","","","","","Jean-Francois Robin","","","Alain Lachassagne","","","Jerome Petitgirard","Alain Cavalier","","",""
"MXIM-AV-1-10-76","La repasseuse","La planchadora","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:12:55","","Alain Cavalier","","","","","Jean-Noel Ferragut","","Sophie Durand","Pierre Lorrain","","","Jerome Petitgirard","Alain Cavalier","","",""
"MXIM-AV-1-10-77","La rémouleuse","La afiladora","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:13:00","","Alain Cavalier","","","","","Armand Marco","","Sophie Durand","Alain Lachassagne","","","Jerome Petitgirard","Alain Cavalier","","",""
"MXIM-AV-1-10-78","La maítre-verrier","Sopladora de vidrio","","Portraits d´Alain Cavalier","1a serie","Francia","1987","00:13:00","","Alain Cavalier","","","","","Pierre-Laurent Chénieux","","Isabel Dedieu","Daniel Ollivier","","","Jerome Petitgirard","Alain Cavalier","","","Asistente: Nicolas Friedrich"
