"MXIM-AV-1-9-27","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-20"
"MXIM-AV-1-9-28","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-07-11"
"MXIM-AV-1-9-29","https://books.google.com.mx/books?id=U7qWBxo00pcC&pg=PA112&lpg=PA112&dq=documental+de+uganda+macdougall&source=bl&ots=cVXeHG6A1O&sig=aMTifmkJ-hEKx_SonMN0ur5ZQ7g&hl=es&sa=X&ei=OGxKVZvAKI_boASlz4GADg&ved=0CEoQ6AEwBw#v=onepage&q=documental%20de%20uganda%20macdougall&f=false","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-08-14"
"MXIM-AV-1-9-30","La region no corresponde, no se puede reproducir","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-07-14"
"MXIM-AV-1-10-1","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-24"
"MXIM-AV-1-10-2","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-28"
"MXIM-AV-1-10-3","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-28"
"MXIM-AV-1-10-4","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-25"
"MXIM-AV-1-10-5","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-25"
"MXIM-AV-1-10-6","","Úrsula Mares, Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-25"
"MXIM-AV-1-10-7","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-26"
"MXIM-AV-1-10-8","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-27"
"MXIM-AV-1-10-9","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-27"
"MXIM-AV-1-10-10","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-27"
"MXIM-AV-1-10-11","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-25"
"MXIM-AV-1-10-12","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-13","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-27"
"MXIM-AV-1-10-14","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-15","","Úrsula Mares, Penélope Ubaldo","Adaptación de la norma ISAD (G)","2012-09-18"
"MXIM-AV-1-10-16","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-17","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-18","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-19"
"MXIM-AV-1-10-19","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-20","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-26"
"MXIM-AV-1-10-21","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-22","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-06-18"
"MXIM-AV-1-10-23","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-24","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-25","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-26","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-27","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-28","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-29","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-19"
"MXIM-AV-1-10-30","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-21"
"MXIM-AV-1-10-31","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-32","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-19"
"MXIM-AV-1-10-33","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-34","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-35","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-19"
"MXIM-AV-1-10-36","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-37","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-27"
"MXIM-AV-1-10-38","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-39","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-26"
"MXIM-AV-1-10-40","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-27"
"MXIM-AV-1-10-41","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-26"
"MXIM-AV-1-10-42","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-43","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-44","","","Adaptación de la norma ISAD (G)","2015-06-01"
"MXIM-AV-1-10-45","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-21"
"MXIM-AV-1-10-46","http://www.avalon.me/ http://www.wernerherzog.com/102.html","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-06"
"MXIM-AV-1-10-47","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-20"
"MXIM-AV-1-10-48","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-07"
"MXIM-AV-1-10-49","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-07"
"MXIM-AV-1-10-50","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-07"
"MXIM-AV-1-10-51","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-07"
"MXIM-AV-1-10-52","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-07"
"MXIM-AV-1-10-53","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-07"
"MXIM-AV-1-10-54","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-08"
"MXIM-AV-1-10-55","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-08"
"MXIM-AV-1-10-56","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-08"
"MXIM-AV-1-10-57","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-08"
"MXIM-AV-1-10-58","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-08"
"MXIM-AV-1-10-59","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-13"
"MXIM-AV-1-10-60","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-15"
"MXIM-AV-1-10-61","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-15"
"MXIM-AV-1-10-62","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-15"
"MXIM-AV-1-10-63","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-15"
"MXIM-AV-1-10-64","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-08"
"MXIM-AV-1-10-65","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-05-13"
"MXIM-AV-1-10-66","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-18"
"MXIM-AV-1-10-67","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-27"
"MXIM-AV-1-10-68","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-27"
"MXIM-AV-1-10-69","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-27"
"MXIM-AV-1-10-70","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-27"
"MXIM-AV-1-10-71","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-27"
