"codigo_de_referencia","existencia_y_localizacion_de_copias","unidades_de_descripcion_relacionadas","documentos_asociados"
"MXIM-AV-1-11-20","","Documentales relacionados: Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155). Zapatistas crónica de una rebelión (MXIM-AV-1-12-116)",""
"MXIM-AV-1-11-21","","Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",""
"MXIM-AV-1-11-22","","Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22). Chiapas, historia inconclusa (MXIM-AV-1-11-23). La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",""
"MXIM-AV-1-11-23","","Documentales  relacionados:  Un lugar llamado chiapas (MXIM-AV-1-11-9). Chiapas, Diálogo bajo amenaza (MXIM-AV-1-11-20). Chiapas, la historia continúa (MXIM-AV-1-11-21). Chiapas, la otra guerra (MXIM-AV-1-11-22).  La guerra de Chiapas (MXIM-AV-1-11-79). Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional (MXIM-AV-1-11-91). Marcos, Marcos... (MXIM-AV-1-11-99). Todos somos Marcos (MXIM-AV-1-11-148). Un puente a la esperanza, entrevista con Marcos (MXIM-AV-1-11-152). Viaje al centro de la selva, Memorial zapatista (MXIM-AV-1-11-155)",""
"MXIM-AV-1-11-24","","",""
"MXIM-AV-1-11-25","","",""
"MXIM-AV-1-11-26","","",""
"MXIM-AV-1-11-27","","",""
"MXIM-AV-1-11-28","","",""
"MXIM-AV-1-11-29","","",""
"MXIM-AV-1-11-30","","",""
"MXIM-AV-1-11-31","","",""
"MXIM-AV-1-11-32","","",""
"MXIM-AV-1-11-33","","",""
"MXIM-AV-1-11-34","","",""
"MXIM-AV-1-11-35","","",""
"MXIM-AV-1-11-36","","",""
"MXIM-AV-1-11-37","","",""
"MXIM-AV-1-11-38","","",""
"MXIM-AV-1-11-39","","",""
"MXIM-AV-1-11-40","","",""
"MXIM-AV-1-11-41","","",""
"MXIM-AV-1-11-42","","",""
