"codigo_de_referencia","titulo_propio","fecha","usuario","accion"
"MXIM-AV-1-10-61","Karl Friedrich Schinkel: Medieval city on the banks of a river","2016-04-18 12:41:35","Jocelyn","U"
"MXIM-AV-1-10-62","Stanley Spencer: The Resurrection Cookham","2016-04-18 12:43:49","Jocelyn","U"
"MXIM-AV-1-10-63","Louis or Antoine Le Nain: Peasant Family","2016-04-18 12:44:18","Jocelyn","U"
"MXIM-AV-1-10-64","John Everett Millais: Ophelia","2016-04-18 12:45:26","Jocelyn","U"
"MXIM-AV-1-10-65","Andrea Mantegna: Crucifixion of Christ","2016-04-18 12:46:42","Jocelyn","U"
"MXIM-AV-1-10-66","Divine horsemen, The living Gods of Haiti","2016-04-18 12:47:28","Jocelyn","U"
"MXIM-AV-1-10-67","La matelassière","2016-04-18 12:48:06","Jocelyn","U"
"MXIM-AV-1-10-68","La fileuse","2016-04-18 12:48:51","Jocelyn","U"
"MXIM-AV-1-10-69","La trempeuse","2016-04-18 12:50:20","Jocelyn","U"
"MXIM-AV-1-10-70","L'orangère","2016-04-18 12:51:22","Jocelyn","U"
"MXIM-AV-1-10-71","La brodeuse","2016-04-18 13:15:45","Jocelyn","U"
"MXIM-AV-1-10-72","La dame-lavabo","2016-04-18 13:16:40","Jocelyn","U"
"MXIM-AV-1-10-75","La canneuse","2016-04-18 13:22:46","Jocelyn","U"
"MXIM-AV-1-10-76","La repasseuse","2016-04-18 13:23:50","Jocelyn","U"
"MXIM-AV-1-10-77","La rémouleuse","2016-04-18 13:24:36","Jocelyn","U"
"MXIM-AV-1-10-78","La maítre-verrier","2016-04-18 13:25:44","Jocelyn","U"
"MXIM-AV-1-10-79","First Contact. New Guinea's highlanders encounter the outside world.","2016-04-18 13:26:37","Jocelyn","U"
"MXIM-AV-1-10-80","Después de…","2016-04-18 13:27:38","Jocelyn","U"
"MXIM-AV-1-10-81","Después de... No se os puede dejar solos","2016-04-18 13:29:42","Jocelyn","U"
"MXIM-AV-1-10-82","Después de... Atado y bien atado","2016-04-18 13:30:37","Jocelyn","U"
"MXIM-AV-1-10-83","La isla de las flores","2016-04-18 13:31:14","Jocelyn","U"
"MXIM-AV-1-10-86","The Social Life of Small Urban Space","2016-04-18 13:33:26","Jocelyn","U"
"MXIM-AV-1-10-87","San Clemente","2016-04-18 13:34:14","Jocelyn","U"
"MXIM-AV-1-11-94-1","Y vino el remolino 1910-1914","2016-04-18 13:35:42","Jocelyn","U"
"MXIM-AV-1-11-1","Adolfo Ruiz Cortines, el jugador de dominó","2016-04-18 13:37:19","Jocelyn","U"
