"codigo_de_referencia","area_de_notas"
"MXIM-AV-1-11-180",""
"MXIM-AV-1-11-181",""
"MXIM-AV-1-11-182",""
"MXIM-AV-1-11-183",""
"MXIM-AV-1-11-184",""
"MXIM-AV-1-11-185",""
"MXIM-AV-1-11-186",""
"MXIM-AV-1-11-187",""
"MXIM-AV-1-11-188",""
"MXIM-AV-1-11-189",""
"MXIM-AV-1-11-190",""
"MXIM-AV-1-11-191",""
"MXIM-AV-1-11-192","Ubicado en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-193","Ubicado en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-194","Ubicado en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-195","Además se puede encontrar en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-196","Además se puede encontrar en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-197","Se puede ubicar en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-198","Ubicado en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-199","Ubicado en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-200","Ubicado en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-201","Ubicado en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-202","Ubicado en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-203","Ubicado en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-204","Ubicado en MXIM-AV-1-11-124, Portraits d'Alain Cavalier, serie 2."
"MXIM-AV-1-11-205","Documental incompleto."
"MXIM-AV-1-11-206","Contiene un folleto informativo escrito por el arqueólogo Roberto García Moll, con bibliografía y mapas"
"MXIM-AV-1-11-207",""
"MXIM-AV-1-11-208",""
"MXIM-AV-1-11-209",""
"MXIM-AV-1-11-210",""
"MXIM-AV-1-11-211",""
"MXIM-AV-1-11-212",""
"MXIM-AV-1-11-213",""
"MXIM-AV-1-11-214",""
"MXIM-AV-1-11-215",""
"MXIM-AV-1-11-216","El vídeo al inicio tiene algunas fallas de origen, y en el minuto 28 deja de producir imagen. No fue realizado por el SRV, corresponde a momentos de tres producciones que fueron grabadas posteriormente en un mismo soporte."
"MXIM-AV-1-11-217",""
"MXIM-AV-1-12-1","Este material audiovisual forma parte del \"material extra\" de la edición de las películas La Jetée y Sans Soleil de Chris Marker que se encuentran ta,bién en el acervo de docuemntal en video del LAIS con el código de referencia MXIM-AV-1-8-18"
"MXIM-AV-1-12-2",""
"MXIM-AV-1-12-3",""
